ranking_2025,razon_social,región,departamento_domicilio,ciudad_domicilio,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,crecimiento_ingresos_pct,margen_utilidad_pct,endeudamiento_pct,roa_pct,roe_pct
1,ECOPETROL S.A,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,MINERO,100590667613,9028764859,198110860034,114350599639,83760260395,-11.703173540339328,8.975748022407153,57.72051043510438,4.557430550475867,10.779294162197907
2,ORGANIZACIÓN TERPEL S.A.,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,COMERCIO,26395418332,628485892,8112318463,4699968205,3412350258,6.639487210629865,2.3810416038683,57.93618959162402,7.74730300427063,18.4179771852717
3,REFINERIA DE CARTAGENA S.A.,CARIBE,BOLÍVAR,CARTAGENA,MANUFACTURA,22395204745,-821398601,34946245504,11566291299,23379954205,-13.401342636440432,-3.667743208212406,33.09737893782067,-2.3504630873894063,-3.513260093658939
4,D1 S A S,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,COMERCIO,21606607933,418933423,6939606162,6724638908,214967254,11.14855531099079,1.9389134300907944,96.90231334485347,6.036847239170458,194.88243683849632
5,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,ANTIOQUIA,ANTIOQUIA,MEDELLIN,SERVICIOS,20285629973,4875861363,71083399625,36111926922,34971472703,-1.403910313117371,24.036036196508217,50.80219448212695,6.859353082045279,13.942396433827414
6,ALMACENES EXITO S A,ANTIOQUIA,ANTIOQUIA,ENVIGADO,COMERCIO,16919897540,592108285,14275329448,7346534337,6928795111,5.238370474738099,3.499479140462927,51.463150911934044,4.1477731715883825,8.545616885971736
7,JERONIMO MARTINS COLOMBIA SAS,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,COMERCIO,16370446955,-579417445,9566191188,9513980969,52210219,18.358981522994537,-3.5394112732091862,99.45422145581311,-6.056929384046093,-1109.7778482790889
8,COMUNICACIÓN CELULAR S.A.,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,SERVICIOS,16351044898,962886477,27193717134,17481520247,9712196887,4.800283991568897,5.888837581980934,64.28514410463971,3.5408417034540443,9.914198488797583
9,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA PUDIENDO UTILIZAR LAS SIGLAS AVIANCA O AVIANCA S.A.,CARIBE,ATLÁNTICO,BARRANQUILLA,SERVICIOS,15120399895,895228478,19786262266,18741818531,1044443735,-0.2386962006234237,5.920666676917938,94.72136919566292,4.524495157118827,85.7134231361922
10,EMGESA S.A. E.S.P.,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,SERVICIOS,14848164631,3030007350,29847413939,15251414413,14595999526,-5.907150006393788,20.406612031186334,51.09794250238813,10.151657882966045,20.759163115911434
