ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
1,899999068,ECOPETROL S.A,SUPERFINANCIERA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO,100590667613,9028764859,198110860034,114350599639,83760260395,113923310323.0,14934704562.0,214240962390.0,130544063451.0,83696898939.0,1
2,830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,26395418332,628485892,8112318463,4699968205,3412350258,24752011682.0,530755958.0,7971211913.0,4621825212.0,3349386701.0,2
3,900112515,REFINERIA DE CARTAGENA S.A.,SUPERSERVICIOS,CARIBE,BOLÍVAR,CARTAGENA,C1921 - Fabricación de productos de la refinación del petróleo,MANUFACTURA,22395204745,-821398601,34946245504,11566291299,23379954205,25860914507.0,-262862567.0,39503859530.0,11927362818.0,27576496712.0,3
4,900276962,D1 S A S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,21606607933,418933423,6939606162,6724638908,214967254,19439396106.0,373209902.0,6321816293.0,6104116322.0,217699971.0,4
5,890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,SUPERFINANCIERA,ANTIOQUIA,ANTIOQUIA,MEDELLIN,D3513 - Distribución de energía eléctrica,SERVICIOS,20285629973,4875861363,71083399625,36111926922,34971472703,20574477180.0,4825909328.0,66918060000.0,34455520000.0,32462540000.0,5
6,890900608,ALMACENES EXITO S A,SUPERFINANCIERA,ANTIOQUIA,ANTIOQUIA,ENVIGADO,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,16919897540,592108285,14275329448,7346534337,6928795111,16077688645.0,54786315.0,13904222000.0,7215710000.0,6688512000.0,6
7,900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,16370446955,-579417445,9566191188,9513980969,52210219,13831182682.0,-601296636.0,8203243746.0,8158228290.0,45015456.0,7
8,800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,16351044898,962886477,27193717134,17481520247,9712196887,15602099799.0,692603733.0,26882427985.0,16951909575.0,9930518410.0,8
9,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA PUDIENDO UTILIZAR LAS SIGLAS AVIANCA O AVIANCA S.A.,SUPERTRANSPORTE,CARIBE,ATLÁNTICO,BARRANQUILLA,H5111 - Transporte aéreo nacional de pasajeros,SERVICIOS,15120399895,895228478,19786262266,18741818531,1044443735,15156578071.0,1218649524.0,21937331668.0,21704198506.0,233133162.0,9
10,860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,D3514 - Comercialización de energía eléctrica,SERVICIOS,14848164631,3030007350,29847413939,15251414413,14595999526,15780332546.0,2251936168.0,28668950240.0,14463972245.0,14204977995.0,10
11,890900943,COLOMBIANA DE COMERCIO S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",COMERCIO,14583929041,403753000,6380679313,3455909828,2924769485,11882400391.0,492207000.0,5549481390.0,2876502336.0,2672979054.0,11
12,900818921,KOPPS COMERCIAL S A S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,12976629920,1133656331,5154630359,3598221208,1556409151,11944730369.0,1061908132.0,6250124762.0,4779112109.0,1471012653.0,12
